customer_name,category,urgency_level,status,vulnerable_customer,Staff_Name,_Weekly_Appointment_Count
Alice Johnson,Housing,High,Open,No,Simon,5
Brian Smith,Digital Support,Medium,In Progress,No,Tony,5
Catherine Brown,Benefits,High,Open,Yes,Paul,5
David Miller,Digital Support,Low,Resolved,No,Greg,5
Ella Davis,Wellbeing,Medium,Pending,Yes,Simon,5
Frank Wilson,Housing,Low,Resolved,No,Tony,5
Grace Taylor,Digital Support,High,In Progress,No,Paul,5
Henry Anderson,Benefits,Medium,Open,Yes,Greg,5
Isla Thomas,Housing,Low,Resolved,No,Simon,5
Jack White,Digital Support,High,Open,No,Tony,5
Karen Harris,Wellbeing,Low,Resolved,Yes,Paul,5
Liam Martin,Benefits,Medium,In Progress,No,Greg,5
Mia Thompson,Housing,High,Open,Yes,Simon,5
Noah Garcia,Digital Support,Medium,Pending,No,Tony,5
Olivia Martinez,Wellbeing,High,In Progress,Yes,Paul,5
Peter Robinson,Housing,Low,Resolved,No,Greg,5
Quinn Clark,Digital Support,High,Open,No,Simon,5
Ruby Lewis,Benefits,Medium,Resolved,Yes,Tony,5
Samuel Walker,Housing,Low,Pending,No,Paul,5
Tina Hall,Wellbeing,Medium,In Progress,Yes,Greg,5


